Start training
Epoch 87, Loss: 0.4985482995834251, Accuracy: 75.79460966542752%
Epoch 88, Loss: 0.5007278572928499, Accuracy: 75.86895910780669%
Epoch 89, Loss: 0.4988415720381319, Accuracy: 76.13847583643123%
Epoch 90, Loss: 0.4961270173626881, Accuracy: 76.18494423791822%
Epoch 91, Loss: 0.49783270297929044, Accuracy: 75.93401486988847%
Epoch 92, Loss: 0.5031999211431789, Accuracy: 75.8039033457249%
Epoch 93, Loss: 0.5005775989873271, Accuracy: 75.98977695167287%
Epoch 94, Loss: 0.49381707969604594, Accuracy: 76.28252788104089%
Epoch 95, Loss: 0.49613545035713674, Accuracy: 76.00371747211896%
Epoch 96, Loss: 0.4935431227110116, Accuracy: 76.40799256505576%
Epoch 97, Loss: 0.4933300825143108, Accuracy: 76.11059479553903%
Epoch 98, Loss: 0.49594547255255317, Accuracy: 75.73420074349443%
Epoch 99, Loss: 0.49212658086467814, Accuracy: 76.15241635687732%
Epoch 100, Loss: 0.49235456991514515, Accuracy: 76.38011152416357%
Training time: 229 minutes, 0 seconds

End training
Eval start!
Test Accuracy: 55.55555555555556%
Eval end!
